Purchase price(pour une chaos nbre de jeweller,Benefit (0.50 sale price),Benefit (0.55sale price),Benefit (0.6 sale price)
4.6,-0.43,-0.37,-0.31
4.7,-0.41,-0.35,-0.30
4.8,-0.40,-0.34,-0.28
4.9,-0.39,-0.33,-0.27
5.0,-0.38,-0.31,-0.25
5.1,-0.36,-0.30,-0.24
5.2,-0.35,-0.29,-0.22
5.3,-0.34,-0.27,-0.21
5.4,-0.33,-0.26,-0.19
5.5,-0.31,-0.24,-0.18
5.6,-0.30,-0.23,-0.16
5.7,-0.29,-0.22,-0.15
5.8,-0.28,-0.20,-0.13
5.9,-0.26,-0.19,-0.12
6.0,-0.25,-0.18,-0.10
6.1,-0.24,-0.16,-0.09
6.2,-0.23,-0.15,-0.07
6.3,-0.21,-0.13,-0.06
6.4,-0.20,-0.12,-0.04
6.5,-0.19,-0.11,-0.03
6.6,-0.18,-0.09,-0.01
6.7,-0.16,-0.08,0.00
6.8,-0.15,-0.07,0.02
6.9,-0.14,-0.05,0.03
7.0,-0.13,-0.04,0.05
7.1,-0.11,-0.02,0.06
7.2,-0.10,-0.01,0.08
7.3,-0.09,0.00,0.09
7.4,-0.08,0.02,0.11
7.5,-0.06,0.03,0.12
7.6,-0.05,0.04,0.14
7.7,-0.04,0.06,0.15
7.8,-0.03,0.07,0.17
7.9,-0.01,0.09,0.18
8.0,0.00,0.10,0.20
8.1,0.01,0.11,0.21
8.2,0.02,0.13,0.23
8.3,0.04,0.14,0.25
8.4,0.05,0.16,0.26
